JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords
NET-F-001,.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics,Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git),.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing
NET-F-002,.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics,Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Razor; Unit Testing
NET-F-003,.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git,Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards,.NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git
NET-F-004,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio,Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance,.NET; C#; SQL Server; Entity Framework; ASP.NET
NET-F-005,.NET Developer,Fresher,0-1,C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics,Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server
NET-F-006,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics,Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts,.NET; C#; ASP.NET; Razor; SQL Server; Unit Testing
NET-F-007,.NET Developer,Fresher,0-1,C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio,Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions,.NET; C#; ASP.NET MVC; SQL Server
NET-F-008,.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ,Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation,.NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server
NET-F-009,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server,Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns,.NET; C#; ASP.NET; SQL Server
NET-F-010,.NET Developer,Fresher,0-1,C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git,Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git
NET-E-011,.NET Developer,Experienced,3+,C#; .NET Core; ASP.NET MVC; SQL Server; Entity Framework; REST APIs; Docker; Azure,Design and develop advanced .NET applications; Implement microservices with ASP.NET Core; Manage SQL Server database performance; Develop REST APIs; Deploy applications using Docker; Integrate with Azure cloud services,.NET Core; C#; ASP.NET MVC; Microservices; Azure; Entity Framework; REST APIs; Docker
NET-E-012,.NET Developer,Experienced,4+,C#; ASP.NET Core; SQL Server; Entity Framework; Design Patterns; SOLID Principles; Azure DevOps,Architect scalable .NET Core solutions; Implement design patterns in projects; Lead database optimization efforts; Manage CI/CD pipelines with Azure DevOps; Collaborate with cross-functional teams,.NET Core; C#; ASP.NET MVC; SOLID; Azure DevOps; Entity Framework
NET-E-013,.NET Developer,Experienced,5+,C#; F#; .NET Core; ASP.NET MVC; Microservices; Docker; Kubernetes; Azure,Develop microservices architecture; Work with Docker and Kubernetes for deployment; Integrate with Azure services; Lead junior developers; Optimize application performance,.NET Core; C#; Microservices; Docker; Kubernetes; Azure
NET-E-014,.NET Developer,Experienced,3+,C#; ASP.NET Core; WebAPI; SignalR; SQL Server; NoSQL; Entity Framework,Develop RESTful APIs and real-time apps; Implement SignalR for live communication; Work with SQL Server and NoSQL databases; Lead module development; Ensure application scalability,.NET Core; C#; ASP.NET MVC; WebAPI; SignalR; Entity Framework
NET-E-015,.NET Developer,Experienced,5+,C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members,.NET Core; C#; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper
NET-E-016,.NET Developer,Experienced,4+,C#; .NET Core; ASP.NET MVC; REST APIs; Docker; Azure DevOps; Testing with NUnit,Develop and maintain microservices; Create CI/CD pipelines; Ensure testing coverage with NUnit; Deploy apps with Docker; Collaborate with QA team,.NET Core; C#; ASP.NET MVC; REST APIs; Docker; Azure DevOps; NUnit
